name,website,phone,industry,industries,keywords,estimated_num_employees,city,state,country,postal_code,street_address,founded_year,revenue,linkedin_url,twitter_url,facebook_url,publicly_traded_symbol
Microsoft,http://www.microsoft.com,+1 855-270-6581,information technology & services,"information technology & services, internet","business software, developer tools, home, educational software, tablets, search, advertising, servers, windows operating system, windows applications, platforms, smartphones, cloud computing, quantum computing, future of work, productivity, ai, artificial intelligence, machine learning, laptops, mixed reality, virtual reality, gaming, developers, it professional, digital marketing, computer software: prepackaged software, technology, software development, b2b, microsoft power automate, information technology and services, remote work, productivity tools, b2c, digital transformation, blockchain, microsoft sharepoint, hololens 2, ai in healthcare, data analytics, microsoft bookings, ai for personalized marketing, collaboration tools, ai for media, ai for real estate, e-commerce, collaboration platforms, ai for sales, d2c, microsoft outlook, windows 11, ai for gaming, big data, ai for research, surface devices, enterprise cloud, office, ai services, software development tools, remote collaboration, ai for virtual assistants, ai in office, microsoft endpoint manager, microsoft 365 admin center, power bi, microsoft security center, ai for supply chain, business applications, cybersecurity, ai for marketing, consumer goods, enterprise software, ai for education, microsoft word, microsoft for startups, productivity software, ai for public safety, ai for transportation, microsoft licensing, security, windows, it security, xbox gaming, microsoft graph, ai for remote diagnostics, ai for logistics, security solutions, project management, ai for predictive maintenance, microsoft forms, ai for digital twins, microsoft surface hub, github, financial services, ai for automation, microsoft copilot, innovation, retail, microsoft excel, ai-powered tools, government, microsoft onedrive, virtualization, natural language processing, microsoft partner network, ai for customer service, microsoft power apps, ai for finance, ai for hr, user experience, customer engagement, security and compliance, education, power platform, ai for retail, supply chain management, hololens, digital services, ai for cybersecurity, cloud infrastructure, microsoft store, ai for data security, automation, digital workplace, dynamics 365, ai for robotics, microsoft education tools, azure ai, technology innovation, services, it solutions, microsoft edge, microsoft teams, ai for energy, healthcare, computer systems design and related services, microsoft intune, ai for entertainment, software as a service, cloud services, microsoft stream, microsoft defender, ai for autonomous vehicles, consulting, customer relationship management, microsoft powerpoint, ai for smart homes, ai for smart cities, education technology, ai integration, business solutions, manufacturing, developer ecosystem, microsoft planner, enterprise solutions, microsoft 365, global technology leader, ai for iot, ai for government, hardware manufacturing, it management, ai for manufacturing, gaming industry, ai for legal, windows os, ai for environmental monitoring, microsoft to do, ai for agriculture, ai for compliance, ai for fraud detection, azure, finance, legal, non-profit, distribution, consumer products & retail, transportation & logistics, energy & utilities, construction & real estate, enterprises, computer software, information technology & services, mobile devices, mobile, internet, games, marketing & advertising, consumer internet, consumers, computer & network security, ux, logistics & supply chain, internet infrastructure, health care, health, wellness & fitness, hospital & health care, saas, crm, sales, e-learning, education management, mechanical or industrial engineering, nonprofit organization management, computers, electronics, mobile phones, shopping",228000,Redmond,Washington,United States,98052,1 Microsoft Way,1975,281.7B,http://www.linkedin.com/company/microsoft,https://twitter.com/microsoft,https://facebook.com/Microsoft,MSFT
Omni PCB,http://www.omnipwb.com,+1 507-332-9932,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit boards, flexible circuits, rigid flex circuits, additive technology, hdi, quickturn, micro electronics, high reliability, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",10,Minneapolis,Minnesota,United States,,,2011,,http://www.linkedin.com/company/omni-pcb,,,
Lutron Electronics Asia,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"lighting control, automated shades, sensors & dimmers, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",6,Coopersburg,Pennsylvania,United States,18036-1299,7200 Suter Rd,1961,,http://www.linkedin.com/company/lutron-electronics-asia,,,
Streamline Circuits Corp.,http://www.streamlinecircuits.com,+1 831-636-7789,electrical/electronic manufacturing,electrical/electronic manufacturing,"rigid printed circuit boards, flex printed circuit boards, rigid flex printed circuit boards, appliances, electrical, & electronics manufacturing, pcb manufacturing, rigid flex, hdi pcbs, flex circuit boards, rf microwave pcbs, semiconductor ate boards, prototype assembly, production capabilities, technical support, quality assurance, dfm services, automotive electronics, consumer electronics, aerospace pcbs, medical device pcbs, advanced technology, custom pcb designs, quick-turn pcb, electrical testing, high-speed pcb, low-loss materials, laser-drilled microvias, blind and buried vias, complex printed circuit boards, staggered microvias, electromagnetic interference, environmental compliance, high-temperature laminates, stacked vias, assembly services, turnkey pcb solutions, polyimide substrates, impedance control, surface mount technology, sequential lamination, via fill options, thermal management, pcb inspection, design for manufacturability, integrated fabrication process, vertical integration, pcb prototyping, manufacturing efficiency, itar registered, nadcap certified, as9100 certified, pca assembly services, consumer electronics support, b2b, services, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, professional services",69,Santa Clara,California,United States,95050,1401 Martin Avenue,2003,,http://www.linkedin.com/company/streamline-circuits,,,
Amazon Lab126,,,electrical/electronic manufacturing,"electrical/electronic manufacturing, consumer electronics","hardware, software, operations, ux, ui, consumer electronics, kindle family of products, machine learning, natural language processing, connected devices, speech recognition, deep information technology, information technology, computers & electronics manufacturing, information technology & services, consumers, artificial intelligence, electrical/electronic manufacturing, mechanical or industrial engineering",2600,Sunnyvale,California,United States,94089,1100 Enterprise Way,2004,2.1B,http://www.linkedin.com/company/lab126,,https://facebook.com/insideamazon,
Elite Manufacturing,http://www.elitemanufacturingsolutions.com,+1 978-688-6150,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronics contract manufacturing, adapters, custom, specialty modules, dram modules, sram modules, sram synchronous modules, assembly & test, consigned electronics manufacturing, turnkey electronics manufacturing, electronics prototyping, printed circuit boards, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",6,Salem,New Hampshire,United States,03079,68 Stiles Rd,,10M,http://www.linkedin.com/company/elitemanufacturingllc,,,
TCL Electronics MEABG,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",44,,New Jersey,United States,,,,,http://www.linkedin.com/company/tcl-electronics-meabg,,,
Netflix,http://www.netflix.com,+1 408-540-3700,entertainment,entertainment,"revolutionizing the way people watch tv shows & movies, consumer electronics, games, entertainment, consumer internet, hardware, information technology, internet, consumer electronics/video chains, consumer discretionary, entertainment providers, web search portals, libraries, archives, and other information services, original content, content licensing, content production, content recommendation engine, b2c, recommendation algorithm, content delivery network, content library, subscription plans, content personalization, streaming technology, subscription model, content personalization algorithms, technology, content discovery, video-on-demand, video streaming, interactive storytelling, gaming integration, original programming, global media distribution, multi-screen viewing, ott platform, d2c, streaming service, content creation, global subscriber base, data analytics, content licensing agreements, adaptive streaming, ad-supported streaming, media, personalized recommendations, original series production, multi-language support, multi-device support, market expansion, interactive content, services, global entertainment, streaming quality optimization, content recommendation, content curation, user engagement, distribution, consumers, information technology & services",14000,Los Gatos,California,United States,95032,100 Winchester Circle,1997,39B,http://www.linkedin.com/company/netflix,https://twitter.com/netflix,https://facebook.com/netflix,NFLX
"Streamline Electronics Manufacturing, Inc. (SEM)",http://www.sem-inc.com,+1 408-263-3600,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronics manufacturing, appliances, electrical, & electronics manufacturing, industrial equipment, obsolete component sourcing, high-end medical device assembly, burn-in board production, iso 9001:2015, quality assurance, rapid prototyping services, design for manufacturing (dfm), system integration, services, mission-critical pcb manufacturing, high-complexity pcb assembly, system validation, complex pcb design review, advanced rework services, system-level integration, npi support, medical device manufacturing, prototype to production, design for test (dft), material handling solutions, semiconductor and other electronic component manufacturing, automotive, reliability testing, pcb design and layout, custom material handling, rohs compliant, electronics contract manufacturing, bga rework, b2b, x-ray inspection, rework and eco services, medical devices, electrostatic discharge (esd) safe environment, full turnkey services, fast turnaround, process validation, obsolete parts sourcing, functional testing, high-reliability electronics, telecommunications, design for assembly (dfa), continuous improvement, surface mount technology, aerospace, automated smt lines, in-circuit testing, healthcare, manufacturing, medical, telecom, industrial, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, health care, health, wellness & fitness",26,Fremont,California,United States,94538,4285 Technology Dr,1994,,http://www.linkedin.com/company/streamline-electronics-manufacturing,,,
Dynamic Manufacturing,,+1 708-343-8753,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit board assembly, electronic contract manufacturing services, electromechanical assemblies, cable assemblies, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",49,Freeport,Pennsylvania,United States,16229-2616,156 Armstrong Dr,1993,,http://www.linkedin.com/company/dynamic-manufacturing,,,
Samsung Display,http://www.samsungdisplay.com,+82 31-209-8114,electrical/electronic manufacturing,electrical/electronic manufacturing,"amoled & qdoled, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",21000,New York,New York,United States,10017,335 East 45th Street,2012,18M,http://www.linkedin.com/company/samsung-display,,https://facebook.com/SamsungDisplay/,
Epson America Inc.,,+1 800-458-3430,electrical/electronic manufacturing,"electrical/electronic manufacturing, computer hardware","technology, electronics, b2c, b2b, automation, imaging, printing, computers & electronics manufacturing, computer hardware, hardware, electrical/electronic manufacturing, mechanical or industrial engineering",1500,Los Alamitos,California,United States,90720-2335,3131 Katella Ave,1975,,http://www.linkedin.com/company/epsonamerica,,,
Cooper Lighting Solutions,,+1 770-486-4800,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",2000,Peachtree City,Georgia,United States,30269-3019,1121 Highway 74 S,,,http://www.linkedin.com/company/cooper-lighting-solutions,,https://www.facebook.com/cooperlightingsolutions,
APCT,,+1 408-727-6442,information technology & services,information technology & services,"rigid printed circuit boards, rigid pcb, high density interconnect, global sourcing, pcb manufacturing, design for manufacturability, technology, information & internet, information technology & services",310,Santa Clara,California,United States,95054,3495 De La Cruz Blvd,2008,24.4M,http://www.linkedin.com/company/apct-inc,https://twitter.com/apctpcb/,https://facebook.com/apctinc/,
Suntron Corporation,http://www.suntroncorp.com,+1 602-789-6600,electrical/electronic manufacturing,electrical/electronic manufacturing,"quick turn prototyping & direct order fulfillment, complete system integration box builds, we offer a complete suite of design & engineering services, printed circuit boards, cots solutions & test in addition, appliances, electrical, & electronics manufacturing, manufacturing, semiconductor and other electronic component manufacturing, engineering services, electronics manufacturing, engineering contractors, electronics industry, b2b, electronics industry services, manufacturing engineering, data management, services, electronics manufacturing services, design engineering, electronic manufacturing, integrated engineering design, engineering contractors for electronics, engineering data management, manufacturing solutions provider, manufacturing solutions, electrical/electronic manufacturing, mechanical or industrial engineering, information technology & services",180,Phoenix,Arizona,United States,85023,2401 W Grandview Rd,1981,26.4M,http://www.linkedin.com/company/suntron-corporation,,,
Sales Engineering Company Inc.,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"managing customer relationships, leading automotive display technologies, project management, consultative sales, printed circuit boards, strategic focus, distribution partners, market expertise, passive electronics, appliances, electrical, & electronics manufacturing, productivity, electrical/electronic manufacturing, mechanical or industrial engineering",10,Salem,New Hampshire,United States,03079-2146,254 N Broadway,1943,,http://www.linkedin.com/company/sales-engineering-company-inc,,,
Regal Beloit Corporation,,+1 608-364-8800,electrical/electronic manufacturing,electrical/electronic manufacturing,"climate solutions, commercial & industrial systems, motion control solutions, metal fabrications, industrials, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",2900,Beloit,Wisconsin,United States,53511,200 State Street,1955,,http://www.linkedin.com/company/regal-beloit,,,RBC
Cadence,http://www.cadence.com,+1 408-943-1234,information technology & services,information technology & services,"electronic design automation software, ip, ai, computational fluid dynamics, drug discovery, hardware, hardware + software, computer software: prepackaged software, technology, software development, reconfigurable ip cores, high-performance simulation, electronics manufacturing, design verification, big data analytics, cloud eda workflows, eda software, b2b, aerospace systems, thermal and fluid dynamics tools, aerospace & defense, ic design, services, cloud-based eda, emulation hardware, automated design tools, automotive electronics, system integration, machine learning integration, 3d ic design, life sciences, product development, hardware solutions, rf design tools, pcb design, semiconductor and other electronic component manufacturing, innovation, healthcare electronics, semiconductors, next-generation technologies, automotive adas design, electromagnetics analysis, simulation and verification, thermal analysis tools, ip cores, 5g technology, ai in chip design, ai-enabled design, 3d system integration, printed circuit boards, electronic design automation, high-speed pcb design, cloud computing, rf to millimeter-wave design, ai and machine learning, integrated circuits, electromagnetic simulation, consulting, healthcare technology, wireless communication design, semiconductor industry, system on chips, healthcare, manufacturing, computer hardware, computer software, information technology & services, enterprise software, enterprises, health care, health, wellness & fitness, hospital & health care, mechanical or industrial engineering",13000,San Jose,California,United States,95134,2655 Seely Avenue,1988,4.6B,http://www.linkedin.com/company/cadence,https://twitter.com/cadence,https://www.facebook.com/CadenceDesign,CDNS
nVent Electrical Connections,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",510,Saint Louis Park,Minnesota,United States,55416,1664 Utica Ave S,1966,,http://www.linkedin.com/company/nventec,,,
Acuity,http://www.acuityinc.com,+1 857-350-3285,electrical/electronic manufacturing,electrical/electronic manufacturing,"lighting fixtures, lighting controls, lighting solutions, technology, iot, smart buildings, internet of things, industry solutions, led lighting, building automation, consumer durables, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",4600,Atlanta,Georgia,United States,30309,1170 Peachtree St NE,1898,,http://www.linkedin.com/company/acuity,https://twitter.com/bytelight,https://www.facebook.com/acuityincofficial,AYI
HP,http://www.hp.com,+1 650-857-1501,information technology & services,information technology & services,"information technology, curated web, technology, it services & it consulting, scientific instruments, storage solutions, product development, space mission hardware, sustainability, business solutions, frequency synthesizers, it solutions, atomic clock innovations, advanced computing, b2c, research and development, it support, space exploration hardware, information technology and services, b2b, scientific instrument development, space science hardware, it infrastructure, space communication devices, hp-35, space communication systems, space exploration technology, space vehicle components, space vehicle electronics, 3d printing, product innovation, consumer electronics, software development, e-commerce, server technology, scientific research tools, scientific research, space technology, it consulting, space research tools, technology pioneer, scientific measurement devices, government, cloud computing, d2c, spacecraft communication systems, space vehicle sensors, atomic clocks, technology history, scientific research and development, space mission technology, technology innovation, global markets, space exploration tools, printers, deep space vehicles, advanced printing solutions, space technology contributions, enterprise solutions, innovative products, scientific research equipment, personal computers, silicon valley, networking equipment, led technology, advanced manufacturing, handheld scientific calculator, consumer market, space exploration electronics, manufacturing, innovation, hp labs, it services, market diversification, space communication technology, hp labs research, 3d printing innovations, user experience, scientific research innovations, cloud services, printing solutions, services, digital transformation, computer and peripheral equipment manufacturing, product design, spacecraft scientific instruments, retail, enterprise hardware, distribution, consumer products & retail, information technology & services, environmental services, renewables & environment, research & development, consumers, hardware, consumer internet, internet, management consulting, enterprise software, enterprises, computer software, mechanical or industrial engineering, ux",58000,Palo Alto,California,United States,94304,1501 Page Mill Road,1939,55.3B,http://www.linkedin.com/company/hp,https://twitter.com/HP,https://facebook.com/HP,HPQ
"Segue Electronics, Inc.",http://www.segueelectronics.com,+1 888-535-2366,electrical/electronic manufacturing,electrical/electronic manufacturing,"electronics manufacturing services, ac dc power supplies, oem lighting applicaitons, transformers, appliances, electrical, & electronics manufacturing, thermal management, sustainable manufacturing, metal and plastic parts, printed circuit boards, energy efficiency, manufacturing, custom enclosures, full service assembly, board level assemblies, services, magnetics, custom heatsinks, oem assembly, ul approved materials, contract manufacturing, led lighting assemblies, thermal insulated metal substrates, distribution, turnkey electronic assemblies, b2b, busbars, wire cable assemblies, cost reduction, all other miscellaneous manufacturing, transformers and coils, power supplies, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment",3,Gardena,California,United States,90248,19210 S Vermont Ave,1995,324K,http://www.linkedin.com/company/segue-electronics,https://twitter.com/SegueElectronic,https://www.facebook.com/SegueElectronics,
Panduit,http://www.panduit.com,+1 708-532-1800,electrical/electronic manufacturing,electrical/electronic manufacturing,"data center solutions, enterprise solutions, industrial automation solutions, energy efficiency, infrastructure risk management, electrical, appliances, electrical, & electronics manufacturing, environmental services, renewables & environment, electrical/electronic manufacturing, mechanical or industrial engineering",5000,Tinley Park,Illinois,United States,60487,18900 Panduit Drive,1955,1B,http://www.linkedin.com/company/panduit,https://twitter.com/Panduit,https://facebook.com/Panduit,
Color Kinetics,http://www.colorkinetics.com,+1 617-423-9999,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",53,Burlington,Massachusetts,United States,01803-4514,3 Burlington Woods Dr,1997,20.2M,http://www.linkedin.com/company/color-kinetics,https://twitter.com/colorkinetics,https://www.facebook.com/colorkinetics,
Calumet Electronics Corporation,http://www.calumetelectronics.com,+1 906-337-1305,electrical/electronic manufacturing,electrical/electronic manufacturing,"highly reliable printed circuit boards, nadcap registered, iso9001 registered, as9100 registered, sba hubzone certified, ipc1971, computers & electronics manufacturing, industrial equipment & controls, b2b, defense, itar compliance, ipc-1791 trust, organic pcb substrates, semiconductor and other electronic component manufacturing, defense and aerospace pcbs, national security, onshore pcb manufacturing, military-grade pcbs, sequential lamination, rf signal pcbs, government, high-density interconnects, critical infrastructure pcbs, pcb fabrication, domestic pcb supply chain, electronics manufacturing, advanced substrate manufacturing, hdi technology, u.s. manufacturing, medical devices, military electronics, automotive pcbs, pcb engineering, multichip packaging, high-speed digital pcbs, aerospace & defense, pcb design, medical device pcbs, microvias, mil-prf-55110, military pcbs, iso9001, laser direct imaging, nadcap accreditation, onshore pcb production, american pcb manufacturer, space electronics pcbs, hubzone certified, high-reliability pcbs, high-performance circuit boards, space-grade pcbs, space & satellite technology, advanced pcb fabrication, mil-prf-31032, aerospace, ultra low loss materials, microvia drilling, organic substrates, healthcare, education, manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, health care, health, wellness & fitness",350,Calumet Township,Michigan,United States,49913,25830 Depot Street,1968,32.1M,http://www.linkedin.com/company/calumet-electronics-corp-,https://twitter.com/calelectronics,https://facebook.com/calelectronics,
KEMET Electronics Corporation,http://www.yageogroup.com,+1 954-766-2800,electrical/electronic manufacturing,electrical/electronic manufacturing,"aluminum electrolytic capacitors, ceramic capacitors, emi filters, film capacitors, tantalum capacitors, supercapacitors, flex suppressor sheets, metal composite inductors, miniature signal relays, emi cores for cables, ac line filters, tantalum polymer capacitors, mlcc, hardware + software, capital goods, appliances, electrical, & electronics manufacturing, computer hardware, computer software, information technology & services, electrical/electronic manufacturing, mechanical or industrial engineering",3900,Fort Lauderdale,Florida,United States,33301,1 East Broward Boulevard,1919,1.6B,http://www.linkedin.com/company/kemet-electronics,https://twitter.com/KEMETCapacitors,https://facebook.com/KemetElectronics,KEM
AVX Corporation,,+1 864-967-2150,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",3,Fountain Inn,South Carolina,United States,29644,1 Avx Boulevard,,1.3M,http://www.linkedin.com/company/avxcorp,https://twitter.com/kavxcorp,https://www.facebook.com/kavxcorp,AVX
TEAL Electronics Corporation,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",31,Menomonee Falls,Wisconsin,United States,53051-2282,N83W12650 Stratton Cir,1985,,http://www.linkedin.com/company/teal-electronics,,,
Argo EMS,http://www.argoems.com,+1 860-669-2233,electrical/electronic manufacturing,electrical/electronic manufacturing,"ems, smt, electronics supply chain services, pth soldering, iso 90012015, as9100d, cob, printed circuit board assembly, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",6,Clinton,Connecticut,United States,06413,1 Heritage Park Rd,1969,,http://www.linkedin.com/company/argo-transdata-corp,,,
Rocket EMS,http://www.rocketems.com,+1 408-727-3700,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","pcb layout design, axidfm services, rework, reball bga, quick turn, production, contract manufacturing, pcba, 3d printing, appliances, electrical, & electronics manufacturing, rework and repair, rohs compliant assembly, aerospace & defense, high-speed component placement, prototyping for space race technology, electrical engineering, high-tech manufacturing, iso and as9100 certified, supply chain management, design for excellence, bga rework, advanced pcb assembly, customer-centric approach, rapid prototyping, process optimization, state-of-the-art equipment, new product introduction (npi), system build, voyager software, manufacturing excellence, supply chain logistics, automated testing, advanced inspection technology, 3d production system, regulatory compliance, functional testing, automated inspection, order fulfillment, material management, supply chain & logistics, ems, telecommunications, b2b, electronics manufacturing for aerospace, custom enclosure assembly, consumer electronics, services, thermal and signal integrity testing, rapid rework services, silicon valley manufacturing, system integration, semiconductor and other electronic component manufacturing, dfx analysis, quality management system, high-mix low-volume production, on-the-fly eco processing, innovation, inventory control, customer support, fast turnaround services, manufacturing, pcb manufacturing, distribution, transportation_logistics, mechanical or industrial engineering, electrical/electronic manufacturing, logistics & supply chain, consumers, hardware",210,Santa Clara,California,United States,95054,2950 Patrick Henry Dr,2011,64M,http://www.linkedin.com/company/rocket-ems,,,
Universal Instruments Corporation,http://www.uic.com,+1 800-842-9732,electrical/electronic manufacturing,electrical/electronic manufacturing,"throughhole electronics manufacturing, electronics manufacturing automation, advanced semiconductor packaging, electronics manufacturing process expertise, surface mount electronics manufacturing, electronics manufacturing, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",460,Conklin,New York,United States,13748-1510,33 Broome Corporate Pkwy,1919,100M,http://www.linkedin.com/company/universal-instruments,https://twitter.com/UICorporation,https://www.facebook.com/universalinstruments,
Emerson Network Power,,+1 314-553-2000,electrical/electronic manufacturing,electrical/electronic manufacturing,"thermal management, service & consulting, power management, it management, unified infrastructure, software, data center, communication networks, business services, energy, networking, data centers, enterprise software, internet service providers, information technology, appliances, electrical, & electronics manufacturing, information technology & services, b2b, enterprises, computer software, electrical/electronic manufacturing, mechanical or industrial engineering",7000,Columbus,Ohio,United States,43085,1050 Dearborn Drive,,,http://www.linkedin.com/company/vertiv-emerson-network-power,http://twitter.com/EmrsnNPDataCntr,http://www.facebook.com/EmersonNetworkPower,
Meta,http://www.meta.com,+1 650-543-4800,information technology & services,"information technology & services, internet","connectivity, artificial intelligence, virtual reality, machine learning, social media, augmented reality, marketing science, mobile connectivity, open compute, metaverse, communities, infrastructure, telecommunications, consumer internet, internet, information technology, computer software: programming data processing, technology, software development, social media platforms, ai-driven user engagement, web search portals, libraries, archives, and other information services, ad ecosystem, immersive experiences, whatsapp, virtual reality experiences, messenger, ai technologies, virtual event platform, customer acquisition, ai talent acquisition, ai research labs expansion, ai-powered advertising, retail, ai research, virtual event livestreams, virtual social interaction tech, ai talent growth strategies, bandwidth optimization for vr, lead generation, metaverse hardware design, localization in multiple languages, virtual event platforms, ai safety and privacy, localization technology, localization, privacy and safety, virtual collaboration platforms, immersive experiences for users, ai safety and privacy measures, vr hardware and software integration, virtual collaboration tools, vr hardware development, vr content creation tools, mobile experiences, hardware and software integration, metaverse innovation, mobile bandwidth optimization, digital marketing, b2b, metaverse immersive experiences, developer ecosystem, privacy and safety policies, facebook, vr software platforms, b2c, meta connect, data security, ai safety measures, immersive technology, digital ecosystem, services, metaverse ecosystem, digital transformation, vr headset innovations, threads, metaverse hardware, metaverse software updates, vr headsets, research and development, ai talent growth, reality labs, virtual social interactions, ai-powered ad targeting, virtual reality hardware, metaverse social features, photography, digital advertising, oculus vr, instagram, vr content development, metaverse hardware development, virtual events, ai and metaverse, virtual social platforms, metaverse developer tools, d2c, ai investment, localization in 111 languages, e-commerce, user experience, ai-driven advertising, digital connection, bandwidth optimization, brand awareness, global user base, virtual event engagement tools, ai safety and privacy policies, ai talent acquisition strategies, vr content creation, consumer electronics, ai research labs, ai startup scale ai, user engagement, user safety features, virtual event livestreaming, privacy protection, metaverse development, vr hardware innovation, ai safety protocols, r&d expenditure, metaverse developer ecosystem, ai and immersive tech, metaverse content creation, digital advertising revenue, metaverse software, bandwidth-constrained markets, developer tools, digital connection technology, metaverse content ecosystem, virtual event streaming, vr content ecosystem, metaverse localization technology, ai startup investment, meta platforms, ad platform, digital ecosystem expansion, vr content monetization, smart glasses, mixed reality, spatial audio, hands-free capture, ai technology, social connection, meta quest, ray-ban meta, virtual try-on, community building, user privacy, health and safety, next-gen technology, smart eyewear, ar apps, prescription compatible, immersive gaming, vr for good, customizable lenses, frame styles, user-friendly design, connected experiences, mobile integration, social technology, business tools, virtual collaboration, online gaming, next evolution of social, smart features, media sharing, real-time interactions, community outreach, economic opportunity, multi-device compatibility, enhanced warranty, customer support, immersive content, gaming accessories, home transformation, information technology & services, consumers, marketing & advertising, sales, computer & network security, research & development, ux, hardware, enterprise software, enterprises, computer software, health & safety",146000,Menlo Park,California,United States,94025,1 Hacker Way,2010,189.5B,http://www.linkedin.com/company/meta,https://twitter.com/meta,https://facebook.com/Meta,META
Ustx Contract Services Inc - Printed Circuit Board Assembly EMS,http://www.ustxcontractservices.com,+1 512-894-0008,electrical/electronic manufacturing,electrical/electronic manufacturing,"cable assembly, mechanical assembly, electronic contract manufacturing, plated through hole assembly, box build assembly, surface mount assembly, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",8,Austin,Texas,United States,78737,14141 W Highway 290,1992,,http://www.linkedin.com/company/ustx-contract-services-inc,,,
KCA Electronics,http://www.kcamerica.com,+1 714-239-2433,electrical/electronic manufacturing,electrical/electronic manufacturing,"pcb manufacturing, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",17,Anaheim,California,United States,92801,223 N Crescent Way,1992,,http://www.linkedin.com/company/kca-electronics,,,
"OnBoard Circuits, Inc.",http://www.onboardcircuits.com,+1 602-753-2113,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit boards, printed circuit boards & printed circuit assembly, printed circuit assembly, appliances, electrical, & electronics manufacturing, aerospace pcbs, gerber files, pcb design, project management, distribution, manufacturing, b2b, high-frequency pcbs, electronics manufacturing, pcb manufacturing, pcb quality, government, turn-key assembly, surface finish, pcb assembly, customer service, pcb capabilities, supply chain management, pcb reliability, pcb prototyping, layer count, cad files, rigid-flex pcbs, pcb production, pcb materials, semiconductor and other electronic component manufacturing, flex pcbs, military pcbs, services, quick-turn prototypes, electrical/electronic manufacturing, mechanical or industrial engineering, productivity, logistics & supply chain",4,Scottsdale,Arizona,United States,85260-3614,8341 E Evans Rd,2001,5.4M,http://www.linkedin.com/company/onboard-circuits-inc.,https://twitter.com/OnBoardCircuits,https://www.facebook.com/OnBoardCircuits,
Pulse Electronics Corporation,,+1 858-674-8100,electrical/electronic manufacturing,electrical/electronic manufacturing,"antennas, power magnetics, ethernet magnetics, connectors, automotive electronic components, hardware + software, appliances, electrical, & electronics manufacturing, computer hardware, computer software, information technology & services, electrical/electronic manufacturing, mechanical or industrial engineering",700,San Diego,California,United States,92128,15255 Innovation Drive,1956,,http://www.linkedin.com/company/yageo-group-pulse-electronics,,,PULS
Littelfuse,http://www.littelfuse.com,+1 773-628-1000,electrical/electronic manufacturing,"electrical/electronic manufacturing, computer hardware, consumer electronics","ev charging, commercial vehicle, industrial safety, data centers, communications infrastructure, water, wastewater, solar, renewable energy, consumer electronics, appliances, automotive electronics, food, beverage, hvac, r, semiconductors, hardware, information technology, electrical products, energy, appliances, electrical, & electronics manufacturing, internet service providers, information technology & services, natural resources, clean energy & technology, environmental services, renewables & environment, consumers, consumer goods, electrical/electronic manufacturing, mechanical or industrial engineering",16000,Rosemont,Illinois,United States,60018-5100,6133 N River Rd,1927,2.2B,http://www.linkedin.com/company/littelfuse,https://twitter.com/Littelfuse,https://facebook.com/Littelfuse,LFUS
